timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,Encoding,SampleCount,ErrorCount,IdleTime
1388149923842,997,S01 - T01 Launch application,200,"Number of samples in transaction : 1, number of failing samples : 0",S01-BugClub-Admin Scenario 1-1,,true,,212509,1,3,0,ISO-8859-1,1,0,306
1388149923843,1061,S02 - T01 Launch the application,200,"Number of samples in transaction : 2, number of failing samples : 0",S02-BugClub-Teacher Scenario 2-1,,true,,99908,1,3,0,ISO-8859-1,1,0,331
1388149923948,1093,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-1,,true,,99909,1,3,0,ISO-8859-1,1,0,224
1388149925270,1198,S03 - T02 - Login,,"Number of samples in transaction : 10, number of failing samples : 1",S03-BugClub-Pupil Scenario 3-1,,false,,16392,1,3,0,ISO-8859-1,1,1,81
1388149927008,664,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-2,,true,,99909,1,3,0,ISO-8859-1,1,0,26
1388149925184,2522,S01 - T02  Login to the application,200,"Number of samples in transaction : 5, number of failing samples : 0",S01-BugClub-Admin Scenario 1-1,,true,,123127,1,3,0,ISO-8859-1,1,0,9
1388149927707,1058,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-2,,true,,37246,1,3,0,ISO-8859-1,1,0,5
1388149927716,1296,S01 - T03  Click on school admin,200,"Number of samples in transaction : 3, number of failing samples : 0",S01-BugClub-Admin Scenario 1-1,,true,,7586,1,3,0,ISO-8859-1,1,0,5
1388149928773,689,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-2,,true,,18218,1,3,0,ISO-8859-1,1,0,8
1388149930078,419,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-3,,true,,99908,2,4,0,ISO-8859-1,1,0,21
1388149930525,1052,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-3,,true,,35960,2,4,0,ISO-8859-1,1,0,45
1388149931624,481,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-3,,true,,17911,2,4,0,ISO-8859-1,1,0,8
1388149925240,2288,S02 - T02 Login to the application,200,"Number of samples in transaction : 13, number of failing samples : 0",S02-BugClub-Teacher Scenario 2-1,,true,,14875,1,4,0,ISO-8859-1,1,0,4734
1388149933107,383,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-4,,true,,99908,3,5,0,ISO-8859-1,1,0,19
1388149932266,515,S02 - T03 Click Search after selecting book,200,"Number of samples in transaction : 1, number of failing samples : 0",S02-BugClub-Teacher Scenario 2-1,,true,,649,1,5,0,ISO-8859-1,1,0,888
1388149929019,440,S01 - T04  Click Y3 Tab,200,"Number of samples in transaction : 1, number of failing samples : 0",S01-BugClub-Admin Scenario 1-1,,true,,15961,1,5,0,ISO-8859-1,1,0,4847
1388149933514,1089,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-4,,true,,35972,3,5,0,ISO-8859-1,1,0,5
1388149934610,468,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-4,,true,,18217,3,5,0,ISO-8859-1,1,0,8
1388149936132,433,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-5,,true,,99909,4,6,0,ISO-8859-1,1,0,19
1388149936649,1114,S03 - T02 - Login,,"Number of samples in transaction : 10, number of failing samples : 1",S03-BugClub-Pupil Scenario 3-5,,false,,16299,4,6,0,ISO-8859-1,1,1,7
1388149934307,478,S01 - T05  Click create pupil,,"Number of samples in transaction : 3, number of failing samples : 1",S01-BugClub-Admin Scenario 1-1,,false,,1777,1,6,0,ISO-8859-1,1,1,4719
1388149939161,361,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-6,,true,,99908,4,6,0,ISO-8859-1,1,0,17
1388149929472,891,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-2,,true,,1288116,4,6,0,ISO-8859-1,1,0,10034
1388149939504,1154,S01 - T06  Navigate to myclass,200,"Number of samples in transaction : 2, number of failing samples : 0",S01-BugClub-Admin Scenario 1-1,,true,,83660,1,6,0,ISO-8859-1,1,0,3
1388149939546,1119,S03 - T02 - Login,,"Number of samples in transaction : 10, number of failing samples : 1",S03-BugClub-Pupil Scenario 3-6,,false,,16218,4,6,0,ISO-8859-1,1,1,6
1388149932114,720,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-3,,true,,1288056,4,6,0,ISO-8859-1,1,0,9390
1388149942215,335,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-7,,true,,99909,4,6,0,ISO-8859-1,1,0,21
1388149940662,427,S01 - T07  Click on create class,200,"Number of samples in transaction : 1, number of failing samples : 0",S01-BugClub-Admin Scenario 1-1,,true,,1525,1,6,0,ISO-8859-1,1,0,1917
1388149942579,1066,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-7,,true,,35991,4,6,0,ISO-8859-1,1,0,6
1388149933670,830,S02 - T04 Select class in allocation pop up,200,"Number of samples in transaction : 1, number of failing samples : 0",S02-BugClub-Teacher Scenario 2-1,,true,,3391,1,6,0,ISO-8859-1,1,0,9440
1388149943656,484,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-7,,true,,18201,4,6,0,ISO-8859-1,1,0,8
1388149935087,699,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-4,,true,,1288110,4,6,0,ISO-8859-1,1,0,9147
1388149945257,371,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-8,,true,,99909,5,7,0,ISO-8859-1,1,0,17
1388149943007,421,S01 - T08  Click on Y3/P4,200,"Number of samples in transaction : 1, number of failing samples : 0",S01-BugClub-Admin Scenario 1-1,,true,,3010,1,7,0,ISO-8859-1,1,0,3177
1388149945649,1044,S03 - T02 - Login,,"Number of samples in transaction : 10, number of failing samples : 1",S03-BugClub-Pupil Scenario 3-8,,false,,16384,5,7,0,ISO-8859-1,1,1,3
1388149948344,375,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-9,,true,,99909,5,7,0,ISO-8859-1,1,0,16
1388149943940,1666,S02 - T05 Click allocate button in popup,200,"Number of samples in transaction : 3, number of failing samples : 0",S02-BugClub-Teacher Scenario 2-1,,true,,2637,1,7,0,ISO-8859-1,1,0,3222
1388149948739,1074,S03 - T02 - Login,,"Number of samples in transaction : 10, number of failing samples : 1",S03-BugClub-Pupil Scenario 3-9,,false,,16063,5,7,0,ISO-8859-1,1,1,4
1388149940406,212,S03 - T05 - Click on Next Page,200,"Number of samples in transaction : 5, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-2,,true,,738404,4,6,0,ISO-8859-1,1,0,9945
1388149951374,349,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-10,,true,,99909,5,7,0,ISO-8859-1,1,0,18
1388149942230,182,S03 - T05 - Click on Next Page,200,"Number of samples in transaction : 5, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-3,,true,,738404,5,7,0,ISO-8859-1,1,0,9516
1388149946606,2459,S01 - T09  Create class,,"Number of samples in transaction : 5, number of failing samples : 1",S01-BugClub-Admin Scenario 1-1,,false,,153340,1,7,0,ISO-8859-1,1,1,3469
1388149951744,1091,S03 - T02 - Login,,"Number of samples in transaction : 10, number of failing samples : 1",S03-BugClub-Pupil Scenario 3-10,,false,,16416,5,7,0,ISO-8859-1,1,1,4
1388149952569,556,S01 - T10  Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",S01-BugClub-Admin Scenario 1-1,,true,,12353,1,6,0,ISO-8859-1,1,0,1
1388149944149,674,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",S03-BugClub-Pupil Scenario 3-7,,true,,1288107,4,5,0,ISO-8859-1,1,0,9406
