sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
S01 - T01 Launch application,1,1000,1000,1000,1000,1000,0.0,1.0,207.529296875
S02 - T01 Launch the application,1,1161,1161,1161,1161,1161,0.0,0.8613264427217916,84.03820790267011
S03 - T01 - Launch,100,353,337,402,296,1231,0.0,0.33382405469373316,32.57030999631959
S03 - T02 - Login,100,2829,1177,6150,1038,26866,0.0,0.3295707341188102,5.249350513924363
"S03 - T03 - Click on book ""Ballet""",100,715,526,765,460,9476,0.0,0.33026080695925575,5.767079360227021
S01 - T02  Login to the application,1,2900,2900,2900,2900,2900,0.0,0.3448275862068965,42.857623922413794
S01 - T03  Click on school admin,1,1304,1304,1304,1304,1304,0.0,0.7668711656441718,5.681137365797546
S02 - T02 Login to the application,1,2373,2373,2373,2373,2373,0.0,0.42140750105351876,7.5236054045512
S02 - T03 Click Search after selecting book,1,523,523,523,523,523,0.0,1.9120458891013383,8.940308317399618
S01 - T04  Click Y3 Tab,1,432,432,432,432,432,0.0,2.314814814814815,69.65919777199075
S01 - T05  Click create pupil,1,444,444,444,444,444,0.0,2.2522522522522523,5.492064329954955
S01 - T06  Navigate to myclass,1,985,985,985,985,985,0.0,1.0152284263959392,87.6328521573604
S03 - T04 - Click on Read Book,100,3722,3564,5019,1893,7287,0.0,0.32735688775259675,411.6892424849089
S01 - T07  Click on create class,1,463,463,463,463,463,0.0,2.1598272138228944,3.216539551835853
S02 - T04 Select class in allocation pop up,1,938,938,938,938,938,0.0,1.0660980810234542,3.588711020788913
S01 - T08  Click on Y3/P4,1,410,410,410,410,410,0.0,2.4390243902439024,15.286775914634147
S02 - T05 Click allocate button in popup,1,2109,2109,2109,2109,2109,0.0,0.474158368895211,3.1630623221906116
S01 - T09  Create class,1,2472,2472,2472,2472,2472,0.0,0.4045307443365696,67.92561058859224
S01 - T10  Logout,1,524,524,524,524,524,0.0,1.9083969465648853,23.02190183683206
S03 - T05 - Click on Next Page,100,2204,2065,2899,956,7207,0.0,0.3303480877800939,238.1648442377796
S02 - T06 Click on my class tab,1,1166,1166,1166,1166,1166,0.0,0.8576329331046312,21.209664451114925
S03 - T06 - Click on Bug Head - page 1,100,1659,1579,2305,564,2859,0.0,0.33179491092965613,174.7358368157974
S02 - T07 Click student,1,972,972,972,972,972,0.0,1.02880658436214,5.196277006172839
S02 - T08 Click change link,1,547,547,547,547,547,0.0,1.8281535648994516,14.316370543875685
S03 - T07 - Click on Back to  Book,100,232,187,336,96,1971,0.0,0.33330777973688686,0.1936700477963356
S02 - T09 Select one book and click deallocate,1,2650,2650,2650,2650,2650,0.0,0.3773584905660377,5.578567216981132
S03 - T08 - Click on Bug Head - page 2,100,2687,2568,3452,1167,7784,0.0,0.3304507017120651,284.63391199726055
S02 - T10 Logout,1,603,603,603,603,603,0.0,1.658374792703151,7.46106706053068
S03 - T09 - Click on Back to Book,100,161,150,208,94,480,0.0,0.33272555465349957,0.19333174318245339
S03 - T10 - Click on Bug Head- page 3,100,2366,2292,3255,683,4819,0.02,0.3302411751301976,253.54620971883264
S03 - T11 - Click on Back to Book,100,150,122,190,91,941,0.0,0.3325429894949669,0.1932256628413138
S03 - T12 - Click on Bug Head - page 4,100,2300,2308,3155,913,4014,0.01,0.3289571072827814,218.90887279043625
S03 - T13 - Click on Back to Book,100,135,130,181,90,272,0.0,0.3311806590495115,0.19243407435005797
S03 - T14 - Click on Bug Head - page 5,100,2691,2508,3322,1147,8101,0.0,0.3291162570266321,279.0600623541604
S03 - T15 - Click on Back to Book,100,175,152,196,93,1821,0.0,0.33196453290930394,0.19288954793069907
S03 - T16 - Click on Bug Head - page 6,100,2451,2339,3463,1053,6797,0.0,0.32919534781134474,251.6749902938809
S03 - T17 - Click on Back to Book,100,159,155,183,90,520,0.0,0.3319788595862216,0.19289787251347834
S03 - T18 - Click on Bug Head - page 7,100,2311,2209,3076,1120,6687,0.0,0.33486366026072484,246.20523932391862
S03 - T19 - Click on Back to Book,100,171,143,223,96,1178,0.0,0.3371873851455469,0.1959243107046879
S03 - T20 - Click on Close Book,100,458,437,506,413,660,0.0,0.3367343502710711,0.6490521717261002
S03 - T21 - Click on Smiley,100,443,428,495,408,623,0.0,0.3366198652847299,0.19789566298965566
S03 - T22 - Click on Finish Button,100,935,883,1035,822,2425,0.0,0.33607119332159324,0.9848428478588905
S03 - T23 - Click on Books I have Read,100,510,502,590,417,752,0.0,0.33658247616996073,0.8194468519441004
S03 - T24 -Logout,100,526,503,589,475,771,0.0,0.33672301165061624,1.515279858913058
TOTAL,2420,1264,556,2886,90,26866,0.0012396694214876034,5.362702624843495,1618.3786848671236
