timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,Encoding,SampleCount,ErrorCount,IdleTime
1390228503177,1151,S01 - T01 Launch application,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,212508,1,4,0,ISO-8859-1,1,0,301
1390228503178,1240,S02 - T01 Launch the application,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,1,4,0,ISO-8859-1,1,0,339
1390228503254,1247,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99911,2,4,0,ISO-8859-1,1,0,257
1390228504290,618,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99911,2,4,0,ISO-8859-1,1,0,22
1390228505329,474,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,3,5,0,ISO-8859-1,1,0,19
1390228504930,1090,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16278,3,5,0,ISO-8859-1,1,0,2
1390228504759,1277,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16205,3,5,0,ISO-8859-1,1,0,20
1390228506023,528,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17880,4,6,0,ISO-8859-1,1,0,8
1390228506056,618,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,4,6,0,ISO-8859-1,1,0,7
1390228505822,1195,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16260,4,6,0,ISO-8859-1,1,0,2
1390228506348,760,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,4,6,0,ISO-8859-1,1,0,21
1390228504630,2713,S01 - T02  Login to the application,200,"Number of samples in transaction : 5, number of failing samples : 0",,true,,127865,1,6,0,ISO-8859-1,1,0,8
1390228507019,742,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,5,7,0,ISO-8859-1,1,0,10
1390228507366,513,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,5,7,0,ISO-8859-1,1,0,26
1390228507351,1299,S01 - T03  Click on school admin,200,"Number of samples in transaction : 3, number of failing samples : 0",,true,,7586,1,8,0,ISO-8859-1,1,0,6
1390228507129,1567,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16106,6,8,0,ISO-8859-1,1,0,2
1390228508381,349,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,6,8,0,ISO-8859-1,1,0,20
1390228507905,1262,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16127,6,8,0,ISO-8859-1,1,0,2
1390228508698,516,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,6,8,0,ISO-8859-1,1,0,8
1390228509169,565,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,7,9,0,ISO-8859-1,1,0,8
1390228509418,446,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,7,9,0,ISO-8859-1,1,0,22
1390228508750,1491,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16153,7,9,0,ISO-8859-1,1,0,2
1390228510243,555,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17881,8,10,0,ISO-8859-1,1,0,9
1390228510450,415,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,8,10,0,ISO-8859-1,1,0,22
1390228509886,1285,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16128,8,10,0,ISO-8859-1,1,0,1
1390228511172,635,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,9,11,0,ISO-8859-1,1,0,6
1390228511479,380,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,9,11,0,ISO-8859-1,1,0,17
1390228510887,1207,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16088,9,11,0,ISO-8859-1,1,0,2
1390228504757,2433,S02 - T02 Login to the application,200,"Number of samples in transaction : 13, number of failing samples : 0",,true,,17258,1,11,0,ISO-8859-1,1,0,4976
1390228512096,525,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17881,10,12,0,ISO-8859-1,1,0,6
1390228511876,1126,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16135,10,12,0,ISO-8859-1,1,0,3
1390228512535,459,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,10,12,0,ISO-8859-1,1,0,17
1390228513005,483,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,10,12,0,ISO-8859-1,1,0,7
1390228512166,593,S02 - T03 Click Search after selecting book,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,3800,1,13,0,ISO-8859-1,1,0,873
1390228508656,439,S01 - T04  Click Y3 Tab,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,32309,1,13,0,ISO-8859-1,1,0,4568
1390228513552,395,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,11,13,0,ISO-8859-1,1,0,18
1390228513011,1261,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16013,11,13,0,ISO-8859-1,1,0,0
1390228514272,665,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,12,14,0,ISO-8859-1,1,0,8
1390228514583,355,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,12,14,0,ISO-8859-1,1,0,16
1390228513965,1188,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16116,12,14,0,ISO-8859-1,1,0,2
1390228515155,487,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,13,15,0,ISO-8859-1,1,0,7
1390228515643,359,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,13,15,0,ISO-8859-1,1,0,16
1390228514956,1147,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16054,13,15,0,ISO-8859-1,1,0,2
1390228516106,569,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,14,16,0,ISO-8859-1,1,0,5
1390228516668,419,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99907,14,16,0,ISO-8859-1,1,0,19
1390228516018,1279,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16352,14,16,0,ISO-8859-1,1,0,2
1390228517299,555,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,15,17,0,ISO-8859-1,1,0,7
1390228517702,398,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,15,17,0,ISO-8859-1,1,0,18
1390228517109,1095,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16134,15,17,0,ISO-8859-1,1,0,1
1390228518205,477,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,15,17,0,ISO-8859-1,1,0,7
1390228513663,477,S01 - T05  Click create pupil,200,"Number of samples in transaction : 3, number of failing samples : 0",,true,,2498,1,18,0,ISO-8859-1,1,0,4912
1390228518727,370,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,16,18,0,ISO-8859-1,1,0,17
1390228518118,1071,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16053,16,18,0,ISO-8859-1,1,0,2
1390228506681,3416,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",,true,,1287794,16,18,0,ISO-8859-1,1,0,9303
1390228506559,2973,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",,true,,1287795,16,18,0,ISO-8859-1,1,0,9968
1390228519191,571,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,17,19,0,ISO-8859-1,1,0,7
1390228519745,378,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,17,19,0,ISO-8859-1,1,0,15
1390228519052,1184,S01 - T06  Navigate to myclass,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,89003,1,19,0,ISO-8859-1,1,0,3
1390228519114,1294,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16139,17,19,0,ISO-8859-1,1,0,2
1390228520770,370,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,18,20,0,ISO-8859-1,1,0,16
1390228520410,857,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,18,20,0,ISO-8859-1,1,0,7
1390228507772,4154,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",,true,,1287818,18,20,0,ISO-8859-1,1,0,9381
1390228520138,1173,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16127,18,20,0,ISO-8859-1,1,0,2
1390228521804,361,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,19,21,0,ISO-8859-1,1,0,15
1390228521156,1339,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16019,19,21,0,ISO-8859-1,1,0,1
1390228521313,1296,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,19,21,0,ISO-8859-1,1,0,7
1390228509742,3268,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",,true,,1287812,19,21,0,ISO-8859-1,1,0,9636
1390228520239,454,S01 - T07  Click on create class,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,1525,1,21,0,ISO-8859-1,1,0,1996
1390228509223,3883,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",,true,,1287797,19,21,0,ISO-8859-1,1,0,9699
1390228522827,402,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,20,22,0,ISO-8859-1,1,0,16
1390228522183,1328,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,15446,20,22,0,ISO-8859-1,1,0,1
1390228522496,1067,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,20,22,0,ISO-8859-1,1,0,6
