sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
S01 - T01 Launch application,1,501,501,501,501,501,0.0,1.996007984031936,413.09373440618765
S03 - T01 - Launch,1,503,503,503,503,503,0.0,1.9880715705765406,185.24788767395626
S02 - T01 Launch the application,1,612,612,612,612,612,0.0,1.6339869281045751,158.52385876225492
S03 - T02 - Login,1,1609,1609,1609,1609,1609,0.0,0.6215040397762585,21.526253690180237
"S03 - T03 - Click on book ""Ballet""",1,464,464,464,464,464,0.0,2.155172413793103,37.69867995689655
S01 - T02  Login to the application,1,2793,2793,2793,2793,2793,0.0,0.35803795202291444,42.32050550483351
S01 - T03  Click on school admin,1,1317,1317,1317,1317,1317,0.0,0.7593014426727411,5.625059320425209
S02 - T02 Login to the application,1,2198,2198,2198,2198,2198,0.0,0.45495905368516837,6.608013677206552
S02 - T03 Click Search after selecting book,1,471,471,471,471,471,0.0,2.1231422505307855,1.3456243365180467
S01 - T04  Click Y3 Tab,1,427,427,427,427,427,0.0,2.34192037470726,27.929230093676814
S03 - T04 - Click on Read Book,1,753,753,753,753,753,0.0,1.3280212483399734,1670.4756494853918
S01 - T05  Click create pupil,1,469,469,469,469,469,0.0,2.1321961620469083,5.193063699360342
S01 - T06  Navigate to myclass,1,1050,1050,1050,1050,1050,0.0,0.9523809523809523,76.41927083333333
S01 - T07  Click on create class,1,412,412,412,412,412,0.0,2.4271844660194173,3.6147034283980584
S02 - T04 Select class in allocation pop up,1,719,719,719,719,719,0.0,1.3908205841446453,4.626108310152991
S01 - T08  Click on Y3/P4,1,451,451,451,451,451,0.0,2.2172949002217295,7.996552799334811
S03 - T05 - Click on Next Page,1,181,181,181,181,181,0.0,5.524861878453039,3983.9649516574586
S02 - T05 Click allocate button in popup,1,1787,1787,1787,1787,1787,0.0,0.5595970900951316,1.4580127308337998
S03 - T06 - Click on Bug Head - page 1,1,302,302,302,302,302,0.0,3.3112582781456954,1744.6062706953644
S01 - T09  Create class,1,2361,2361,2361,2361,2361,0.0,0.4235493434985176,62.11036769377382
S01 - T10  Logout,1,556,556,556,556,556,0.0,1.7985611510791368,21.696900292266186
S02 - T06 Click on my class tab,1,1279,1279,1279,1279,1279,0.0,0.7818608287724785,18.540180316653636
S03 - T07 - Click on Back to  Book,1,163,163,163,163,163,0.0,6.134969325153374,3.5647526840490795
S02 - T07 Click student,1,480,480,480,480,480,0.0,2.0833333333333335,3.0171712239583335
S02 - T08 Click change link,1,453,453,453,453,453,0.0,2.207505518763797,16.49592991169978
S03 - T08 - Click on Bug Head - page 2,1,335,335,335,335,335,0.0,2.985074626865672,2572.1577658582087
S02 - T09 Select one book and click deallocate,1,3087,3087,3087,3087,3087,0.0,0.32393909944930355,2.6914783770651116
S02 - T10 Logout,1,507,507,507,507,507,0.0,1.9723865877712032,8.877665803747535
S03 - T09 - Click on Back to Book,1,440,440,440,440,440,0.0,2.2727272727272725,1.3205788352272727
S03 - T10 - Click on Bug Head- page 3,1,316,316,316,316,316,0.0,3.1645569620253164,2438.1582525712024
S03 - T11 - Click on Back to Book,1,117,117,117,117,117,0.0,8.547008547008549,4.96627938034188
S03 - T12 - Click on Bug Head - page 4,1,255,255,255,255,255,0.0,3.9215686274509802,2613.2238051470586
S03 - T13 - Click on Back to Book,1,179,179,179,179,179,0.0,5.58659217877095,3.2461155726256985
S03 - T14 - Click on Bug Head - page 5,1,322,322,322,322,322,0.0,3.105590062111801,2634.4350494953414
S03 - T15 - Click on Back to Book,1,110,110,110,110,110,0.0,9.09090909090909,5.282315340909091
S03 - T16 - Click on Bug Head - page 6,1,327,327,327,327,327,0.0,3.058103975535168,2338.9537939602446
S03 - T17 - Click on Back to Book,1,161,161,161,161,161,0.0,6.211180124223602,3.6090353260869565
S03 - T18 - Click on Bug Head - page 7,1,281,281,281,281,281,0.0,3.558718861209964,2617.5558830071172
S03 - T19 - Click on Back to Book,1,126,126,126,126,126,0.0,7.936507936507936,4.611545138888889
S03 - T20 - Click on Close Book,1,492,492,492,492,492,0.0,2.032520325203252,3.449726880081301
S03 - T21 - Click on Smiley,1,479,479,479,479,479,0.0,2.08768267223382,1.2273290709812108
S03 - T22 - Click on Finish Button,1,849,849,849,849,849,0.0,1.1778563015312131,3.416243374558304
S03 - T23 - Click on Books I have Read,1,419,419,419,419,419,0.0,2.3866348448687353,1.466009099045346
S03 - T24 -Logout,1,560,560,560,560,560,0.0,1.7857142857142856,8.035714285714285
TOTAL,44,719,469,1787,110,3087,0.0,0.33863346006434036,62.086877099623656
