sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
S01 - T01 Launch application,1,988,988,988,988,988,0.0,1.0121457489878543,210.04791877530366
S03 - T01 - Launch,50,367,343,428,305,1075,0.0,0.16918698884380998,16.507194491652314
S02 - T01 Launch the application,1,1085,1085,1085,1085,1085,0.0,0.9216589861751152,89.9247551843318
S01 - T02  Login to the application,1,2459,2459,2459,2459,2459,0.0,0.406669377795852,50.661314304595365
S01 - T03  Click on school admin,1,1246,1246,1246,1246,1246,0.0,0.8025682182985554,5.94558838282504
S03 - T02 - Login,50,4670,1247,12123,999,16807,0.0,0.169291245272542,2.7097973499148464
"S03 - T03 - Click on book ""Ballet""",50,561,506,740,460,821,0.0,0.1714824659178599,2.9960900658063965
S02 - T02 Login to the application,1,2268,2268,2268,2268,2268,0.0,0.4409171075837742,6.402770888447972
S02 - T03 Click Search after selecting book,1,542,542,542,542,542,0.0,1.8450184501845017,1.1693525138376384
S01 - T04  Click Y3 Tab,1,495,495,495,495,495,0.0,2.0202020202020203,62.257339015151516
S01 - T05  Click create pupil,1,435,435,435,435,435,0.0,2.2988505747126435,5.598958333333333
S01 - T06  Navigate to myclass,1,1071,1071,1071,1071,1071,0.0,0.9337068160597572,80.86594012605042
S01 - T07  Click on create class,1,452,452,452,452,452,0.0,2.2123893805309733,3.2948181692477876
S03 - T04 - Click on Read Book,50,3608,3431,4791,2078,7029,0.0,0.1695558991888446,213.23688662623607
S02 - T04 Select class in allocation pop up,1,773,773,773,773,773,0.0,1.29366106080207,4.313045763260026
S01 - T08  Click on Y3/P4,1,494,494,494,494,494,0.0,2.0242914979757085,12.68542826417004
S02 - T05 Click allocate button in popup,1,1958,1958,1958,1958,1958,0.0,0.5107252298263535,1.3271873403983656
S01 - T09  Create class,1,2814,2814,2814,2814,2814,0.0,0.35536602700781805,60.024584110696516
S03 - T05 - Click on Next Page,50,2280,2135,2949,1055,5434,0.0,0.16820688100708822,121.26894797949895
S01 - T10  Logout,1,480,480,480,480,480,0.0,2.0833333333333335,25.132242838541668
S02 - T06 Click on my class tab,1,1248,1248,1248,1248,1248,0.0,0.8012820512820512,19.018711187900642
S03 - T06 - Click on Bug Head - page 1,50,1742,1613,2334,703,6209,0.0,0.1671748782966886,88.04065792300258
S02 - T07 Click student,1,454,454,454,454,454,0.0,2.2026431718061676,1.288460214757709
S02 - T08 Click change link,1,1532,1532,1532,1532,1532,0.0,0.6527415143603134,4.889186928851175
S03 - T07 - Click on Back to  Book,50,182,167,258,92,319,0.0,0.16783761375194273,0.09752283220938078
S02 - T09 Select one book and click deallocate,1,2768,2768,2768,2768,2768,0.0,0.361271676300578,2.9342739568280347
S03 - T08 - Click on Bug Head - page 2,50,2467,2449,3189,1133,3654,0.0,0.16656506197885956,143.4709137322067
S02 - T10 Logout,1,513,513,513,513,513,0.0,1.949317738791423,8.770026193957115
S03 - T09 - Click on Back to Book,50,145,147,179,94,210,0.0,0.16758166254415777,0.09737411056032604
S03 - T10 - Click on Bug Head- page 3,50,2404,2240,3283,938,4751,0.0,0.16641482556397985,128.16200519671895
S03 - T11 - Click on Back to Book,50,129,113,176,92,326,0.0,0.16721345466341603,0.09716016164524661
S03 - T12 - Click on Bug Head - page 4,50,2061,1941,2741,1205,3121,0.0,0.16599990040005974,110.54961140460816
S03 - T13 - Click on Back to Book,50,134,119,186,85,294,0.0,0.16716425894412368,0.09713157624194685
S03 - T14 - Click on Bug Head - page 5,50,2794,2573,3649,1412,7002,0.0,0.16565671290697714,140.46152723789794
S03 - T15 - Click on Back to Book,50,142,140,173,94,232,0.0,0.16714190682172977,0.09711858843645432
S03 - T16 - Click on Bug Head - page 6,50,2490,2459,3325,952,5453,0.0,0.16551906779661016,126.5419135659428
S03 - T17 - Click on Back to Book,50,151,145,185,95,225,0.0,0.1666605557796214,0.09683889715710423
S03 - T18 - Click on Bug Head - page 7,50,2326,2168,3529,765,7657,0.0,0.1657467720816137,121.863698789427
S03 - T19 - Click on Back to Book,50,130,117,163,93,221,0.0,0.16674726117623517,0.09688927773423821
S03 - T20 - Click on Close Book,50,446,435,489,416,504,0.0,0.16617147566917254,0.3210939213643343
S03 - T21 - Click on Smiley,50,425,418,455,405,499,0.0,0.1661769984445833,0.0976938994762101
S03 - T22 - Click on Finish Button,50,892,870,966,818,1168,0.0,0.16593379241682568,0.5014441425371277
S03 - T23 - Click on Books I have Read,50,471,451,512,410,796,0.0,0.16616981890813134,0.38310581569440705
S03 - T24 -Logout,50,521,505,565,479,724,0.0,0.16614331522371198,0.7476481634933294
TOTAL,1220,1312,515,2965,85,16807,0.0,2.710177605491442,812.3874671467329
