timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,Encoding,SampleCount,ErrorCount,IdleTime
1390558923937,1245,S01 - T01 Launch application,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,212510,1,3,0,ISO-8859-1,1,0,359
1390558923944,1331,S02 - T01 Launch the application,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,1,4,0,ISO-8859-1,1,0,378
1390558924028,1332,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,2,4,0,ISO-8859-1,1,0,294
1390558925568,525,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,2,4,0,ISO-8859-1,1,0,26
1390558925655,1306,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16259,2,4,0,ISO-8859-1,1,0,10
1390558926971,504,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,3,5,0,ISO-8859-1,1,0,16
1390558926119,1375,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16395,3,5,0,ISO-8859-1,1,0,2
1390558927137,496,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99908,3,5,0,ISO-8859-1,1,0,120
1390558927496,586,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17881,3,5,0,ISO-8859-1,1,0,13
1390558925550,2798,S01 - T02  Login to the application,200,"Number of samples in transaction : 5, number of failing samples : 0",,true,,118382,1,5,0,ISO-8859-1,1,0,7
1390558927753,1268,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16282,4,6,0,ISO-8859-1,1,0,3
1390558928661,483,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,4,6,0,ISO-8859-1,1,0,21
1390558929023,531,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,4,6,0,ISO-8859-1,1,0,8
1390558928355,1319,S01 - T03  Click on school admin,200,"Number of samples in transaction : 3, number of failing samples : 0",,true,,7586,1,6,0,ISO-8859-1,1,0,4
1390558929165,1275,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16010,5,7,0,ISO-8859-1,1,0,3
1390558930176,415,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99911,5,7,0,ISO-8859-1,1,0,24
1390558930443,493,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17881,5,7,0,ISO-8859-1,1,0,9
1390558930615,1224,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16012,6,8,0,ISO-8859-1,1,0,2
1390558931706,365,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99911,6,8,0,ISO-8859-1,1,0,21
1390558931842,778,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,6,8,0,ISO-8859-1,1,0,7
1390558925653,2476,S02 - T02 Login to the application,200,"Number of samples in transaction : 13, number of failing samples : 0",,true,,18274,1,8,0,ISO-8859-1,1,0,4703
1390558932092,1268,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16345,7,9,0,ISO-8859-1,1,0,2
1390558933215,389,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,7,9,0,ISO-8859-1,1,0,23
1390558932831,500,S02 - T03 Click Search after selecting book,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,4784,1,9,0,ISO-8859-1,1,0,537
1390558933362,891,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17881,7,9,0,ISO-8859-1,1,0,8
1390558929677,431,S01 - T04  Click Y3 Tab,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,5476,1,9,0,ISO-8859-1,1,0,4603
1390558933628,1094,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16340,7,9,0,ISO-8859-1,1,0,2
1390558934758,374,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,8,10,0,ISO-8859-1,1,0,19
1390558934724,696,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,8,10,0,ISO-8859-1,1,0,8
1390558936293,367,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,9,11,0,ISO-8859-1,1,0,20
1390558935151,1731,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16411,9,11,0,ISO-8859-1,1,0,2
1390558936680,1348,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16389,10,12,0,ISO-8859-1,1,0,2
1390558936884,1145,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17881,10,12,0,ISO-8859-1,1,0,7
1390558937810,415,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,10,12,0,ISO-8859-1,1,0,34
1390558938030,521,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,10,12,0,ISO-8859-1,1,0,11
1390558938259,1176,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16504,11,13,0,ISO-8859-1,1,0,3
1390558939346,362,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,11,13,0,ISO-8859-1,1,0,22
1390558934712,453,S01 - T05  Click create pupil,200,"Number of samples in transaction : 3, number of failing samples : 0",,true,,2493,1,13,0,ISO-8859-1,1,0,4769
1390558939438,746,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,11,13,0,ISO-8859-1,1,0,7
1390558927491,3442,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",,true,,1287797,11,13,0,ISO-8859-1,1,0,9724
1390558939934,1198,S01 - T06  Navigate to myclass,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,79502,1,14,0,ISO-8859-1,1,0,4
1390558939730,1461,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16327,12,14,0,ISO-8859-1,1,0,1
1390558940885,433,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99910,12,14,0,ISO-8859-1,1,0,21
1390558941192,485,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,12,14,0,ISO-8859-1,1,0,7
1390558928095,4183,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",,true,,1287794,12,14,0,ISO-8859-1,1,0,9950
1390558941339,1111,S03 - T02 - Login,200,"Number of samples in transaction : 10, number of failing samples : 0",,true,,16316,13,15,0,ISO-8859-1,1,0,2
1390558929563,4058,S03 - T04 - Click on Read Book,200,"Number of samples in transaction : 12, number of failing samples : 0",,true,,1287786,13,15,0,ISO-8859-1,1,0,9015
1390558942407,443,S03 - T01 - Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,99909,13,15,0,ISO-8859-1,1,0,22
1390558942452,596,"S03 - T03 - Click on book ""Ballet""",200,"Number of samples in transaction : 2, number of failing samples : 0",,true,,17882,13,15,0,ISO-8859-1,1,0,7
1390558941137,424,S01 - T07  Click on create class,200,"Number of samples in transaction : 1, number of failing samples : 0",,true,,1525,1,15,0,ISO-8859-1,1,0,1609
