sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
S03 - T01 - Launch,10,411,286,603,218,652,0.0,5.194805194805195,484.05184659090907
S01 - T01 Launch application,1,577,577,577,577,577,0.0,1.7331022530329288,358.6844670710572
S02 - T01 Launch the application,1,680,680,680,680,680,0.0,1.4705882352941175,142.67434512867646
S03 - T02 - Login,10,1810,1730,2272,1356,2362,0.0,4.071661237785016,138.38757443505702
"S03 - T03 - Click on book ""Ballet""",10,584,557,662,508,709,0.0,9.541984732824428,166.90832239980915
S01 - T02  Login to the application,1,3291,3291,3291,3291,3291,0.0,0.3038590094196293,36.0066991415983
S01 - T03  Click on school admin,1,1144,1144,1144,1144,1144,0.0,0.8741258741258742,6.4757020323426575
S02 - T02 Login to the application,1,2250,2250,2250,2250,2250,0.0,0.4444444444444445,6.456597222222222
S02 - T03 Click Search after selecting book,1,480,480,480,480,480,0.0,2.0833333333333335,1.3203938802083335
S01 - T04  Click Y3 Tab,1,435,435,435,435,435,0.0,2.2988505747126435,29.088092672413794
S03 - T04 - Click on Read Book,10,1263,794,3051,696,3284,0.0,2.866150759529951,3605.081091913872
S01 - T05  Click create pupil,1,461,461,461,461,461,0.0,2.1691973969631237,5.28318194143167
S01 - T06  Navigate to myclass,1,1004,1004,1004,1004,1004,0.0,0.9960159362549801,80.21624439741036
S01 - T07  Click on create class,1,449,449,449,449,449,0.0,2.2271714922048997,3.3168325445434297
S02 - T04 Select class in allocation pop up,1,831,831,831,831,831,0.0,1.203369434416366,4.00378873345367
S01 - T08  Click on Y3/P4,1,432,432,432,432,432,0.0,2.314814814814815,8.350513599537036
S03 - T05 - Click on Next Page,10,563,192,1095,181,1528,0.0,2.3557126030624262,1698.6988368669022
S02 - T05 Click allocate button in popup,1,1734,1734,1734,1734,1734,0.0,0.5767012687427913,1.495255730968858
S03 - T06 - Click on Bug Head - page 1,10,590,294,650,285,2583,0.0,2.006823198876179,1057.3375257124223
S01 - T09  Create class,1,2459,2459,2459,2459,2459,0.0,0.406669377795852,60.04330393452623
S01 - T10  Logout,1,509,509,509,509,509,0.0,1.9646365422396854,23.700346881139488
S02 - T06 Click on my class tab,1,1423,1423,1423,1423,1423,0.0,0.7027406886858749,16.683228654251582
S03 - T07 - Click on Back to  Book,10,1089,1139,2107,140,2553,0.0,1.918649270913277,1.114840152532617
S02 - T07 Click student,1,1140,1140,1140,1140,1140,0.0,0.8771929824561404,1.2386924342105263
S02 - T08 Click change link,1,460,460,460,460,460,0.0,2.1739130434782608,16.280995244565215
S03 - T08 - Click on Bug Head - page 2,10,330,331,357,299,379,0.0,1.6906170752324599,1456.7588361158073
S02 - T09 Select one book and click deallocate,1,2734,2734,2734,2734,2734,0.0,0.365764447695684,2.9696929864667156
S03 - T09 - Click on Back to Book,10,217,154,396,117,551,0.0,1.9308746862328634,1.121943787410697
S03 - T10 - Click on Bug Head- page 3,10,347,324,417,305,436,0.0,1.8221574344023324,1403.895786830357
S03 - T11 - Click on Back to Book,10,271,115,657,91,677,0.0,1.903311762466692,1.105928221355158
S03 - T12 - Click on Bug Head - page 4,10,290,269,345,227,431,0.0,1.8480872297172426,1231.5137133847718
S02 - T10 Logout,1,488,488,488,488,488,0.0,2.0491803278688527,9.221311475409836
S03 - T13 - Click on Back to Book,10,206,154,312,135,370,0.0,1.887861053426468,1.0969505144421372
S03 - T14 - Click on Bug Head - page 5,10,320,313,342,294,351,0.0,2.061005770816158,1748.3266404317806
S03 - T15 - Click on Back to Book,10,415,114,1076,97,1258,0.0,2.454590083456063,1.4262510738831615
S03 - T16 - Click on Bug Head - page 6,10,307,305,316,288,337,0.0,2.410219329959026,1843.4270682694626
S03 - T17 - Click on Back to Book,10,445,180,1138,139,1218,0.0,1.8494544109487703,1.074634154799334
S03 - T18 - Click on Bug Head - page 7,10,280,280,286,259,329,0.0,1.4885382554331645,1094.869310992855
S03 - T19 - Click on Back to Book,10,235,126,397,102,693,0.0,1.4590020426028596,0.8477599759264662
S03 - T20 - Click on Close Book,10,474,452,512,430,585,0.0,1.4064697609001406,2.5466167809423346
S03 - T21 - Click on Smiley,10,498,497,550,417,595,0.0,1.3745704467353952,0.8080970790378007
S03 - T22 - Click on Finish Button,10,1011,1004,1126,883,1132,0.0,1.2805736970162631,3.6578887341529005
S03 - T23 - Click on Books I have Read,10,527,487,652,416,660,0.0,1.327668613913967,1.4593982342007434
S03 - T24 -Logout,10,539,516,581,497,673,0.0,1.3135426244581636,5.911454912649415
TOTAL,260,589,417,1147,91,3291,0.0,1.8909228430752225,537.3269476050735
