timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime
1390481313620,2,TEACHER ID : 100050,200,OK,1.     INSTRUCTOR-REGISTRATION 1-1,text,true,1472,1,1,0,1,0,0
1390481313638,0,INSTRUCTOR = 100050,200,OK,1.     INSTRUCTOR-REGISTRATION 1-1,text,true,1470,1,1,0,1,0,0
1390481313641,2081,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T01_HOME,200,"Number of samples in transaction : 3, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,25736,1,1,0,1,0,2677
1390481318423,1182,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T02_ACCESSCODE-NEXT,200,"Number of samples in transaction : 2, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,19875,1,1,0,1,0,1277
1390481320885,255,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T03_CREATE,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,76964,1,1,0,1,0,1708
1390481322852,180,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T04_LICENSEAGREE-NEXT,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,15634,1,1,0,1,0,1432
1390481324466,83,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T05_INSTRINFO-NEXTT,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,538,1,1,0,1,0,132
1390481324682,1719,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T06_OK,200,"Number of samples in transaction : 4, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,19666,1,1,0,1,0,1
1390481326404,2073,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T07_FINISH,200,"Number of samples in transaction : 4, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,21419,1,1,0,1,0,2610
1390481331092,662,S01_INSTRUCTORREGISTRATIONCLASSCREATION_T08_LOGOUT,200,"Number of samples in transaction : 1, number of failing samples : 0",1.     INSTRUCTOR-REGISTRATION 1-1,,true,5069,1,1,0,1,0,78
